timestamp,booth_id,menu_id,sales_quantity,revenue
2026-05-22T17:30:00,booth-chicken,menu-chicken,42,252000
2026-05-22T18:00:00,booth-chicken,menu-chicken,30,180000
2026-05-22T18:30:00,booth-chicken,menu-chicken,28,168000
2026-05-22T19:00:00,booth-chicken,menu-chicken,20,120000
2026-05-22T17:30:00,booth-drink,menu-drink,24,72000
2026-05-22T18:00:00,booth-drink,menu-drink,28,84000
2026-05-22T18:30:00,booth-drink,menu-drink,31,93000
2026-05-22T19:00:00,booth-drink,menu-drink,34,102000
2026-05-22T17:30:00,booth-tteok,menu-tteok,20,100000
2026-05-22T18:00:00,booth-tteok,menu-tteok,19,95000
2026-05-22T18:30:00,booth-tteok,menu-tteok,17,85000
2026-05-22T19:00:00,booth-tteok,menu-tteok,15,75000
2026-05-22T17:30:00,booth-waffle,menu-waffle,11,44000
2026-05-22T18:00:00,booth-waffle,menu-waffle,13,52000
2026-05-22T18:30:00,booth-waffle,menu-waffle,15,60000
2026-05-22T19:00:00,booth-waffle,menu-waffle,17,68000

